holiday_dt,holiday_type,holiday_desc
11/12/2019,10,Secondary School Holiday
11/13/2019,10,Secondary School Holiday
11/14/2019,11,Tech Show
11/15/2019,11,Tech Show
11/16/2019,11,Tech Show
11/17/2019,11,Tech Show
11/18/2019,9,School holiday
11/19/2019,9,School holiday
11/20/2019,9,School holiday
11/21/2019,9,School holiday
11/22/2019,9,School holiday
11/23/2019,9,School holiday
11/24/2019,9,School holiday
11/25/2019,9,School holiday
11/26/2019,9,School holiday
11/27/2019,9,School holiday
11/28/2019,11,SITEX
11/29/2019,11,SCSM SITEX
11/30/2019,11,SCSM SITEX
12/1/2019,11,SCSM SITEX
12/2/2019,9,School holiday
12/3/2019,9,School holiday
12/4/2019,9,School holiday
12/5/2019,9,School holiday
12/6/2019,9,School holiday
12/7/2019,9,School holiday
12/8/2019,9,School holiday
12/9/2019,9,School holiday
12/10/2019,9,School holiday
12/11/2019,9,School holiday
12/12/2019,9,School holiday
12/13/2019,9,School holiday
12/14/2019,9,School holiday
12/15/2019,9,School holiday
12/16/2019,9,School holiday
12/17/2019,9,School holiday
12/18/2019,9,School holiday
12/19/2019,9,School holiday
12/20/2019,9,School holiday
12/21/2019,9,School holiday
12/22/2019,9,School holiday
12/23/2019,9,School holiday
12/24/2019,9,School holiday
12/25/2019,8,Christmas Day
